frame,track_id,x1,y1,x2,y2
64,2,501,202,573,327
64,3,94,33,141,89
64,4,249,111,316,180
64,5,251,238,339,330
64,6,350,117,421,231
64,7,283,74,324,134
64,8,293,30,334,75
64,9,245,158,315,242
64,11,167,70,213,149
64,18,55,143,171,255
64,19,439,95,494,177
64,20,338,117,432,215
64,21,454,126,500,178
65,1,442,167,519,298
65,2,501,202,573,327
65,3,94,33,141,89
65,4,249,112,316,179
65,5,251,238,339,330
65,6,350,117,421,231
65,7,283,74,324,134
65,8,293,30,334,75
65,9,244,158,315,242
65,11,167,70,213,149
65,18,55,143,171,255
65,19,438,94,495,177
65,20,338,117,433,216
65,21,454,126,501,178
66,1,442,166,520,298
66,2,501,202,573,327
66,3,94,33,141,89
66,4,248,112,316,179
66,5,251,238,339,330
66,6,350,117,420,231
66,7,283,74,324,134
66,8,293,30,334,75
66,9,244,158,315,242
66,11,167,70,213,149
66,18,52,143,170,257
66,19,439,94,495,177
66,20,337,117,433,217
66,21,441,121,493,178
67,1,442,166,520,298
67,2,501,202,573,327
67,3,94,33,141,89
67,4,249,112,316,179
67,5,251,237,339,331
67,6,350,117,420,231
67,7,283,74,324,134
67,8,293,30,334,75
67,9,244,158,315,242
67,11,167,70,213,149
67,18,52,142,170,257
67,19,439,95,495,177
67,20,337,118,434,218
67,21,441,124,493,178
68,1,442,166,521,298
68,2,501,202,573,327
68,3,94,33,141,89
68,4,249,113,317,180
68,5,251,237,339,331
68,6,350,117,421,231
68,7,283,74,324,134
68,8,293,30,334,75
68,9,244,158,314,242
68,11,167,70,213,149
68,18,53,143,169,256
68,19,440,95,496,177
68,20,336,118,434,220
68,21,441,126,493,178
69,1,442,167,521,299
69,2,501,202,573,327
69,3,94,33,141,89
69,4,249,113,316,180
69,5,251,237,339,331
69,6,350,117,421,231
69,7,283,74,324,134
69,8,293,30,334,75
69,9,244,158,314,242
69,11,167,70,213,149
69,18,54,144,168,256
69,19,440,95,496,177
69,20,335,118,435,221
69,21,440,127,493,178
70,1,442,167,521,299
70,2,501,202,573,326
70,3,93,33,141,89
70,4,249,114,316,180
70,5,251,237,339,331
70,6,350,117,421,231
70,7,283,74,324,134
70,8,294,31,333,75
70,9,244,158,314,242
70,11,167,70,213,149
