frame,person_id,anomaly_type,timestamp,timestamp_sec,bbox,duration_sec
337,15,Looking Away,00:11,11.244566666666667,"(1091,307,1291,543)",
338,13,Excessive Head Turn,00:11,11.277933333333333,"(959,317,1248,553)",0.5005000000000006
342,14,Excessive Head Turn,00:11,11.4114,"(1212,194,1586,875)",0.5005000000000006
342,15,Excessive Head Turn,00:11,11.4114,"(1087,302,1288,541)",
343,1,Looking Away,00:11,11.444766666666666,"(811,467,1356,971)",0.5004999999999988
344,13,Looking Away,00:11,11.478133333333334,"(926,318,1210,548)",0.5005000000000006
348,1,Excessive Head Turn,00:11,11.611600000000001,"(793,462,1313,971)",0.5338666666666683
351,14,Looking Away,00:11,11.7117,"(1151,200,1532,870)",0.5005000000000006
353,13,Excessive Head Turn,00:11,11.778433333333334,"(872,315,1156,547)",0.5005000000000006
357,14,Excessive Head Turn,00:11,11.911900000000001,"(1098,198,1538,972)",0.5005000000000006
358,1,Looking Away,00:11,11.945266666666667,"(735,460,1260,972)",0.5005000000000006
359,13,Looking Away,00:11,11.978633333333333,"(842,315,1121,545)",0.5004999999999988
363,1,Excessive Head Turn,00:12,12.1121,"(725,453,1261,971)",0.5004999999999988
364,1,Excessive Hand Movement,00:12,12.145466666666668,"(719,449,1259,971)",1.0677333333333348
366,14,Looking Away,00:12,12.212200000000001,"(1159,161,1508,785)",0.5005000000000006
368,13,Excessive Head Turn,00:12,12.278933333333333,"(786,315,1052,548)",0.5004999999999988
372,14,Excessive Head Turn,00:12,12.4124,"(1122,150,1472,749)",0.5004999999999988
373,1,Looking Away,00:12,12.445766666666668,"(673,423,1249,990)",0.5005000000000006
374,13,Looking Away,00:12,12.479133333333333,"(757,316,1008,550)",0.5005000000000006
378,1,Excessive Head Turn,00:12,12.6126,"(652,396,1253,990)",0.5005000000000006
379,1,Excessive Hand Movement,00:12,12.645966666666666,"(649,394,1252,991)",0.5004999999999988
381,14,Looking Away,00:12,12.7127,"(1102,125,1461,739)",0.5004999999999988
381,16,Looking Away,00:12,12.7127,"(1580,353,1870,941)",
383,13,Excessive Head Turn,00:12,12.779433333333333,"(715,315,949,549)",0.5005000000000006
384,16,Excessive Head Turn,00:12,12.812800000000001,"(1568,351,1867,938)",
387,14,Excessive Head Turn,00:12,12.9129,"(1089,110,1443,716)",0.5005000000000006
388,1,Looking Away,00:12,12.946266666666666,"(611,369,1217,987)",0.5004999999999988
389,13,Looking Away,00:12,12.979633333333334,"(823,311,1054,553)",0.5005000000000006
393,1,Excessive Head Turn,00:13,13.113100000000001,"(594,364,1186,990)",0.5005000000000006
394,1,Excessive Hand Movement,00:13,13.146466666666667,"(593,364,1181,989)",0.5005000000000006
396,14,Looking Away,00:13,13.2132,"(1069,88,1416,681)",0.5005000000000006
396,16,Looking Away,00:13,13.2132,"(1528,352,1826,942)",0.5005000000000006
398,13,Excessive Head Turn,00:13,13.279933333333334,"(804,314,1026,552)",0.5005000000000006
399,13,Excessive Hand Movement,00:13,13.3133,"(803,314,1023,551)",
399,16,Excessive Head Turn,00:13,13.3133,"(1491,350,1792,941)",0.5004999999999988
400,21,Looking Away,00:13,13.346666666666668,"(1239,96,1648,1070)",
403,1,Looking Away,00:13,13.446766666666667,"(590,361,1160,991)",0.5005000000000006
403,14,Excessive Head Turn,00:13,13.446766666666667,"(1053,70,1394,654)",0.5338666666666665
404,13,Looking Away,00:13,13.480133333333333,"(795,314,1015,554)",0.5004999999999988
408,1,Excessive Head Turn,00:13,13.6136,"(577,362,1142,994)",0.5004999999999988
409,1,Excessive Hand Movement,00:13,13.646966666666668,"(575,361,1140,994)",0.5005000000000006
411,21,Excessive Head Turn,00:13,13.713700000000001,"(1308,93,1758,1063)",
413,13,Excessive Head Turn,00:13,13.780433333333333,"(779,313,996,550)",0.5004999999999988
414,13,Excessive Hand Movement,00:13,13.8138,"(777,313,994,550)",0.5005000000000006
415,21,Looking Away,00:13,13.847166666666666,"(1317,92,1782,1069)",0.5004999999999988
418,1,Looking Away,00:13,13.947266666666668,"(565,361,1135,1001)",0.5005000000000006
419,13,Looking Away,00:13,13.980633333333333,"(766,313,982,550)",0.5005000000000006
423,1,Excessive Head Turn,00:14,14.1141,"(549,364,1117,1000)",0.5005000000000006
426,21,Excessive Head Turn,00:14,14.2142,"(1328,106,1861,1069)",0.5004999999999988
428,13,Excessive Head Turn,00:14,14.280933333333333,"(746,312,965,554)",0.5005000000000006
430,1,Excessive Hand Movement,00:14,14.347666666666667,"(533,362,1099,996)",0.7006999999999994
430,13,Excessive Hand Movement,00:14,14.347666666666667,"(742,313,959,551)",0.5338666666666665
430,21,Looking Away,00:14,14.347666666666667,"(1308,94,1875,1068)",0.5005000000000006
433,1,Looking Away,00:14,14.447766666666666,"(515,359,1082,999)",0.5004999999999988
434,13,Looking Away,00:14,14.481133333333334,"(732,310,950,550)",0.5005000000000006
441,21,Excessive Head Turn,00:14,14.7147,"(1474,75,1991,1070)",0.5005000000000006
443,13,Excessive Head Turn,00:14,14.781433333333334,"(707,310,917,540)",0.5005000000000006
445,21,Looking Away,00:14,14.848166666666668,"(1502,77,1970,1070)",0.5005000000000006
449,13,Looking Away,00:14,14.981633333333333,"(686,310,902,541)",0.5004999999999988
455,13,Excessive Hand Movement,00:15,15.181833333333334,"(664,309,880,539)",0.8341666666666665
457,21,Excessive Head Turn,00:15,15.248566666666667,"(1512,81,1928,1071)",0.5338666666666665
458,13,Excessive Head Turn,00:15,15.281933333333333,"(653,308,869,539)",0.5004999999999988
460,21,Looking Away,00:15,15.348666666666666,"(1512,83,1924,1071)",0.5004999999999988
464,13,Looking Away,00:15,15.482133333333334,"(627,311,841,537)",0.5005000000000006
473,13,Excessive Head Turn,00:15,15.782433333333334,"(588,310,808,541)",0.5005000000000006
473,21,Excessive Head Turn,00:15,15.782433333333334,"(1712,200,1984,1070)",0.5338666666666665
474,23,Looking Away,00:15,15.8158,"(1308,345,1589,907)",
475,21,Looking Away,00:15,15.849166666666667,"(1721,214,1969,1072)",0.5005000000000006
479,13,Looking Away,00:15,15.982633333333334,"(561,308,784,541)",0.5005000000000006
488,13,Excessive Head Turn,00:16,16.282933333333332,"(516,310,739,542)",0.5004999999999988
489,21,Excessive Head Turn,00:16,16.316300000000002,"(1730,511,1888,1068)",0.5338666666666683
490,23,Looking Away,00:16,16.349666666666668,"(1218,340,1507,903)",0.5338666666666683
493,23,Excessive Head Turn,00:16,16.449766666666665,"(1210,341,1498,904)",
494,13,Looking Away,00:16,16.483133333333335,"(489,310,719,548)",0.5005000000000006
